Mountain,Metres,Feet,Range,Location_and_Notes
Pointe de Thorens,"3,266","10,715",,"Vanoise massif, France "
Mount Cramer,"3,266","10,715",,"Idaho, USA "
Toussid?,"3,265","10,712",,"Tibesti Mountains, Chad-Libya "
Antelao,"3,264","10,709",,"Dolomites, Italy "
Mont Pelve,"3,261","10,699",,"Vanoise massif, France "
Mount Stanley Baldwin,"3,256","10,682",,"Columbia Mountains, B.C., Canada "
Sandia Crest,"3,255","10,679",,"New Mexico, USA "
?paule du Bouchet,"3,25","10,663",,"Vanoise massif, France "
Mount Smythe,"3,246","10,65",,Canadian Rockies 
Wildstrubel,"3,243","10,64",,"Bernese Alps, Switzerland "
Williams Peak,"3,242","10,636",,"Idaho, USA "
Mount Hope,"3,239","10,627",,"Highest British mountain, British Antarctic Territory "
Titlis,"3,238","10,623",,"Bernese Alps, Switzerland "
Owl Peak,"3,235","10,614",,"Teton Range, Wyoming "
Mount Mackenzie King,"3,234","10,61",,"Cariboo Mountains, B.C., Canada "
Pointe des Buffettes,"3,233","10,607",,"Vanoise massif, France "
Lisenser Spitze,"3,23","10,597",,"Stubai Alps, Austria "
Mount Terror,"3,23","10,597",,Antarctica 
Aiguille Rouge,"3,227","10,587",,"Vanoise massif, France "
Monte Civetta,"3,22","10,564",,"Dolomites, Italy "
Symmetry Spire,"3,219","10,561",,"Teton Range, Wyoming "
Glacier Peak,"3,213","10,541",,"Washington, USA "
Pointe du Dard,"3,212","10,538",,"Vanoise massif, France "
Mount Binalud,"3,211","10,535",,"Alborz, Iran "
Pointe de la R?chasse,"3,206","10,518",,"Vanoise massif, France "
Mount Jefferson,"3,204","10,512",,"Montana, USA "
Mount Jefferson,"3,199","10,495",,"Cascade Range, Oregon, USA "
Dreil?nderspitze,"3,197","10,489",,"Silvretta, Austria-Switzerland "
Mount Kita,"3,193","10,476",,"Akaishi Mountains, Japan "
Mount Hotaka,"3,19","10,466",,"Hida Mountains, Japan "
Mount Cleveland,"3,19","10,466",,"Montana, USA "
Ainodake,"3,189","10,463",,"Akaishi Mountains, Japan "
Lassen Peak,"3,189","10,463",,"California, USA "
Mount Galatea,"3,185","10,449",,"Kananaskis Range, Alberta, Canada "
Rendezvous Mountain,"3,185","10,449",,"Teton Range, Wyoming, USA "
Saviers Peak,"3,182","10,44",,"Idaho, USA "
Mount Yari,"3,18","10,433",,"Hida Mountains, Japan "
Par?cutin,"3,17","10,4",,Mexico 
Mount Aylmer,"3,162","10,374",,Canadian Rockies 
South Sister,"3,157","10,358",,"Cascade Range, Oregon, USA "
Stanley Peak,"3,155","10,351",,"Ball Range, Canadian Rockies "
J?kulkyrkja,"3,148","10,328",,Antarctica 
Pica d'Estats,"3,143","10,312",,"Spanish�French border, Pyrenees "
Phan Xi P?ng,"3,143","10,312",,"Sa pa, Vietnam "
Mount Arakawa,"3,141","10,305",,"Akaishi Mountains, Japan "
Gray Peak,"3,14","10,302",,"Yellowstone National Park, Wyoming, USA "
Mount Heyburn,"3,139","10,299",,"Idaho, USA "
Mount Washburn,"3,122","10,243",,"Yellowstone National Park, Wyoming, USA "
Mount Collie,"3,116","10,223",,Canadian Rockies 
Mount Siple,"3,11","10,203",,Antarctica 
Pirchinassi,"3,11","10,203",,Muzaffarabad Azad Kashmir 
Mount Redoubt,"3,108","10,197",,"Alaska, USA "
Mount Babel,"3,101","10,174",,"Bow Range, Alberta, Canada "
Mount Emei,"3,099","10,167",,China 
Pico Duarte,"3,098","10,164",,Dominican Republic 
Trapper Peak,"3,096","10,157",,"Montana, USA "
Storm Mountain,"3,095","10,154",,Canadian Rockies 
Mount Blackmore,"3,094","10,151",,"Montana, USA "
Mount Stimson,"3,091","10,141",,"Montana, USA "
Mol Len,"3,088","10,131",,"Patkai Range, Nagaland-India/Burma<http://www.peaklist.org/WWlists/ultras/burma.html> "
Qurnat as Sawd?�,"3,088","10,131",,Lebanon 
Mount Richardson,"3,086","10,125",,Canadian Rockies 
Kintla Peak,"3,079","10,102",,"Livingston Range, Montana, USA "
Mount Moulton,"3,078","10,098",,Antarctica 
Smoky Dome,"3,077","10,095",,"Idaho, USA "
Jebel akthar,"3,075","10,089",,Oman 
North Sister,"3,074","10,085",,"Cascade Range, Oregon, USA "
Piton des Neiges,"3,069","10,069",,"R?union, France "
Mount San Antonio,"3,068","10,066",,"San Gabriel Mountains, California, USA "
Mount Ontake,"3,067","10,062",,Japan 
Mount Jackson,"3,064","10,052",,"Lewis Range, Montana, USA "
Middle Sister,"3,062","10,046",,"Cascade Range, Oregon, USA "
Mount Wutai,"3,061","10,043",,"Shanxi, China "
Mount Nyamuragira,"3,058","10,033",,Democratic Republic of the Congo 
Haleakala,"3,057","10,03",,"Hawaii, USA "
Crowfoot Mountain,"3,055","10,023",,Canadian Rockies 
Mount Chester,"3,054","10,02",,Canadian Rockies 
Mount Siyeh,"3,052","10,013",,"Montana, USA "
Mount Merritt,"3,049","10,003",,"Montana, USA "
Cerro de Cox?m,"3,045","9,99",,Guatemala 
Parseierspitze,"3,036","9,961",,Austria 
Mount Senj?,"3,033","9,951",,"Akaishi Mountains, Japan "
Mount Aspiring/Tititea,"3,033","9,951",,New Zealand 
Kinnerly Peak,"3,031","9,944",,"Montana, USA "
Mount Agung,"3,031","9,944",,"Bali, Indonesia "
Mount McArthur,"3,021","9,911",,Canadian Rockies 
Mount Norikura,"3,026","9,928",,"Hida Mountains, Japan "
Tsiteli Khati,"3,026","9,928",,"Kharuli Range, Georgia "
Mount Tate,"3,015","9,892",,"Hida Mountains, Japan "
Mount Japvo,"3,014","9,888",,"Barail Range, Nagaland, India"
Mount Tahat,"3,003","9,852",,Algeria Highest 
Sapitwa,"3,002","9,849",,"Mulanje Massif, Malawi "
The Fortress,3,"9,843",,Canadian Rockies 
